,title,Price,Mileage(miles),Registration_Year,Previous Owners,Fuel type,Body type,Engine,Gearbox,Doors,Seats,Emission Class,Has_Service_History,Mileage
0,SKODA Fabia,6900,70189,2016,3,Diesel,Hatchback,1.4L,Manual,5.0,5.0,Euro 6,0,70189
1,Vauxhall Corsa,1495,88585,2008,4,Petrol,Hatchback,1.2L,Manual,3.0,5.0,Euro 4,1,88585
2,Hyundai i30,949,137000,2011,3,Petrol,Hatchback,1.4L,Manual,5.0,5.0,Euro 5,0,137000
3,MINI Hatch,2395,96731,2010,5,Petrol,Hatchback,1.4L,Manual,3.0,4.0,Euro 4,1,96731
4,Vauxhall Corsa,1000,85000,2013,3,Diesel,Hatchback,1.3L,Manual,5.0,5.0,Euro 5,0,85000
5,Hyundai Coupe,800,124196,2007,3,Petrol,Coupe,2.0L,Manual,3.0,4.0,Euro 4,0,124196
6,Ford Focus,798,140599,2008,3,Petrol,Hatchback,1.6L,Manual,5.0,5.0,Euro 4,0,140599
7,Vauxhall Corsa,1995,90000,2009,3,Petrol,Hatchback,1.2L,Manual,3.0,5.0,Euro 4,0,90000
8,Peugeot 207,1299,87000,2008,5,Diesel,Hatchback,1.6L,Manual,5.0,5.0,Euro 4,0,87000
9,Ford Fiesta,1495,181693,2009,3,Diesel,Hatchback,1.6L,Manual,3.0,5.0,Euro 4,1,181693
10,Vauxhall Insignia,2950,79000,2011,4,Petrol,Hatchback,1.8L,Manual,5.0,5.0,Euro 5,0,79000
11,SKODA Fabia,6900,70189,2016,3,Diesel,Hatchback,1.4L,Manual,5.0,5.0,Euro 6,0,70189
12,BMW 3 Series,19800,69690,2019,1,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic,4.0,5.0,Euro 6,0,69690
13,Citroen C1,1100,164985,2008,3,Petrol,Hatchback,1.0L,Manual,3.0,4.0,Euro 4,0,164985
14,Vauxhall Corsa,1295,109000,2007,3,Petrol,Hatchback,1.4L,Manual,5.0,5.0,Euro 4,0,109000
15,Peugeot 207,999,111400,2007,2,Diesel,Hatchback,1.6L,Manual,5.0,5.0,Euro 4,0,111400
16,Citroen C4,1289,135000,2010,3,Diesel,Hatchback,1.6L,Manual,5.0,5.0,Euro 4,0,135000
17,Vauxhall Astra,1200,134000,2004,5,Petrol,Hatchback,1.8L,Automatic,5.0,5.0,Euro 4,0,134000
18,Citroen C4,1949,114000,2013,3,Diesel,Hatchback,1.6L,Manual,5.0,5.0,Euro 5,0,114000
19,Ford Mondeo,1195,101000,2010,3,Diesel,Hatchback,1.8L,Manual,5.0,5.0,Euro 4,0,101000
20,Mercedes-Benz A180,14498,53055,2019,3,Petrol,Hatchback,1.3L,Manual,5.0,5.0,Euro 6,0,53055
21,Peugeot 407,1995,89000,2007,3,Petrol,Coupe,3.0L,Automatic,2.0,4.0,Euro 4,0,89000
22,Ford KA,990,69000,2003,3,Petrol,Hatchback,1.3L,Manual,3.0,4.0,Euro 3,0,69000
23,Vauxhall Insignia,2950,79000,2011,4,Petrol,Hatchback,1.8L,Manual,5.0,5.0,Euro 5,0,79000
24,Mercedes-Benz A Class,15900,62402,2019,1,Petrol,Hatchback,1.3L,Automatic,5.0,5.0,Euro 6,0,62402
25,Ford Focus,8975,86500,2017,3,Diesel,Hatchback,1.5L,Manual,5.0,5.0,Euro 6,0,86500
26,Citroen C4,3399,55000,2011,2,Petrol,Hatchback,1.6L,Manual,5.0,5.0,Euro 5,0,55000
27,SKODA Fabia,1990,150000,2007,2,Diesel,Hatchback,1.9L,Manual,5.0,5.0,Euro 4,1,150000
28,Ford Focus,1200,95000,2009,3,Diesel,Hatchback,1.8L,Manual,5.0,5.0,Euro 4,0,95000
29,Mazda Mazda2,1490,135800,2008,3,Petrol,Hatchback,1.3L,Manual,5.0,5.0,Euro 4,0,135800
